track,quarter_region,year,activity,predicted_eok,actual_eok,abs_error_eok,ape_pct
recursive_no_target_actual,강원,2021,건설업,43753.66991739202,45223.479999999996,1469.8100826079753,3.2501038898553927
recursive_no_target_actual,강원,2021,"공공 행정, 국방·사회보장",113838.29298770576,118373.08,4534.78701229424,3.830927616561333
recursive_no_target_actual,강원,2021,"광업, 제조업",58649.799273495315,56256.520000000004,2393.279273495311,4.2542255964203095
recursive_no_target_actual,강원,2021,교육 서비스업,37504.435400834736,37042.25,462.18540083473636,1.2477249649649693
recursive_no_target_actual,강원,2021,금융 및 보험업,21538.631209721836,21017.8,520.8312097218368,2.478048176887385
recursive_no_target_actual,강원,2021,기타산업 및 순생산물세,73049.49975652201,71769.41,1280.0897565220075,1.7836147134580143
recursive_no_target_actual,강원,2021,도매 및 소매업,28113.430727614177,27361.489999999998,751.9407276141792,2.7481717099989043
recursive_no_target_actual,강원,2021,문화 및 기타서비스업,21632.82123911395,24249.260000000002,2616.4387608860525,10.78976744397995
recursive_no_target_actual,강원,2021,보건 및 사회복지업,33931.51676647173,33911.31,20.206766471732408,0.05958710079832484
recursive_no_target_actual,강원,2021,부동산업,30749.05381343225,31374.010000000002,624.9561865677533,1.9919550818264968
recursive_no_target_actual,강원,2021,사업서비스업,22614.65495956186,23138.75,524.0950404381401,2.265010168821307
recursive_no_target_actual,강원,2021,서비스업,361282.07315960823,370015.11,8733.036840391753,2.360183842327886
recursive_no_target_actual,강원,2021,숙박 및 음식점업,20041.839792614726,21031.660000000003,989.8202073852772,4.7063341998932895
recursive_no_target_actual,강원,2021,운수 및 창고업,21776.540497725982,23092.23,1315.6895022740173,5.697541996914189
recursive_no_target_actual,강원,2021,정보통신업,9540.85576481123,9423.24,117.61576481122938,1.2481456994752271
recursive_no_target_actual,강원,2022,건설업,45671.78878777394,40129.18,5542.608787773941,13.811916385467985
recursive_no_target_actual,강원,2022,"공공 행정, 국방·사회보장",121727.38580866474,117832.94999999998,3894.4358086647553,3.305048213309398
recursive_no_target_actual,강원,2022,"광업, 제조업",57618.65981991064,57979.57,360.91018008936226,0.6224781937661185
recursive_no_target_actual,강원,2022,교육 서비스업,38526.88580315379,38790.950000000004,264.06419684621505,0.6807366069823374
recursive_no_target_actual,강원,2022,금융 및 보험업,21592.612257461762,21950.71,358.09774253823707,1.6313720264093376
recursive_no_target_actual,강원,2022,기타산업 및 순생산물세,71002.05787479339,73597.88,2595.822125206614,3.527033829244285
recursive_no_target_actual,강원,2022,도매 및 소매업,28363.787407937307,27109.08,1254.707407937305,4.628365875704026
recursive_no_target_actual,강원,2022,문화 및 기타서비스업,25639.82567447194,25280.17,359.6556744719419,1.4226790186614329
recursive_no_target_actual,강원,2022,보건 및 사회복지업,35865.242021823826,35580.59,284.6520218238293,0.8000205219301572
recursive_no_target_actual,강원,2022,부동산업,30754.890917481658,32091.46,1336.569082518341,4.164874650509328
recursive_no_target_actual,강원,2022,사업서비스업,23741.016289285355,23145.95,595.0662892853543,2.570930505273511
recursive_no_target_actual,강원,2022,서비스업,385837.09378756955,378781.99,7055.103787569562,1.8625763562754294
recursive_no_target_actual,강원,2022,숙박 및 음식점업,23936.0833360833,22192.09,1743.9933360832983,7.858625916185895
recursive_no_target_actual,강원,2022,운수 및 창고업,26046.63482224784,25259.71,786.9248222478418,3.115335933183088
recursive_no_target_actual,강원,2022,정보통신업,9642.72944895802,9671.23,28.500551041979634,0.29469417066887704
recursive_no_target_actual,강원,2023,건설업,39897.18950247014,40879.91,982.7204975298664,2.403920403762793
recursive_no_target_actual,강원,2023,"공공 행정, 국방·사회보장",120315.98708405915,122505.76000000001,2189.7729159408627,1.7874856789924514
recursive_no_target_actual,강원,2023,"광업, 제조업",58750.10565272177,59510.81,760.7043472782243,1.2782624657238313
recursive_no_target_actual,강원,2023,교육 서비스업,39245.89199515758,40036.99,791.0980048424171,1.9759177821370117
recursive_no_target_actual,강원,2023,금융 및 보험업,22085.00612243229,21909.14,175.86612243228956,0.8027066440412064
recursive_no_target_actual,강원,2023,기타산업 및 순생산물세,70989.3951082589,73935.65,2946.2548917410895,3.9848907688524946
recursive_no_target_actual,강원,2023,도매 및 소매업,26220.838349267113,27236.800000000003,1015.9616507328901,3.730106513000389
recursive_no_target_actual,강원,2023,문화 및 기타서비스업,26566.675291464497,26629.37,62.694708535502286,0.23543444150388196
recursive_no_target_actual,강원,2023,보건 및 사회복지업,36769.687763403395,36587.34,182.34776340339886,0.4983903268272547
recursive_no_target_actual,강원,2023,부동산업,32367.942337091852,32071.78,296.16233709185326,0.9234359212112745
recursive_no_target_actual,강원,2023,사업서비스업,24302.74859667047,26434.71,2131.9614033295293,8.065007724047396
recursive_no_target_actual,강원,2023,서비스업,389639.0862387705,389730.16000000003,91.07376122951973,0.02336841501553786
recursive_no_target_actual,강원,2023,숙박 및 음식점업,21877.977282817497,22663.83,785.8527171825044,3.467431220506439
recursive_no_target_actual,강원,2023,운수 및 창고업,29804.688549492406,23618.84,6185.848549492406,26.190314805860094
recursive_no_target_actual,강원,2023,정보통신업,10081.642866914272,9788.16,293.48286691427165,2.99834562281646
recursive_no_target_actual,강원,2024,건설업,38682.699846310265,40034.0,1351.3001536897355,3.375381310110744
recursive_no_target_actual,강원,2024,"공공 행정, 국방·사회보장",122824.56522310845,124111.01000000001,1286.444776891556,1.036527522329853
recursive_no_target_actual,강원,2024,"광업, 제조업",61233.69982583523,57208.0,4025.6998258352323,7.036952569282675
recursive_no_target_actual,강원,2024,교육 서비스업,39683.68807607454,40605.479999999996,921.7919239254552,2.2701170480571964
recursive_no_target_actual,강원,2024,금융 및 보험업,22884.22770763117,22231.71,652.5177076311702,2.935076553405789
recursive_no_target_actual,강원,2024,기타산업 및 순생산물세,75193.17768866275,70299.32,4893.857688662742,6.961458074790398
recursive_no_target_actual,강원,2024,도매 및 소매업,25838.518532653317,26787.84,949.3214673466828,3.5438522379806763
recursive_no_target_actual,강원,2024,문화 및 기타서비스업,26596.843396267253,26699.76,102.91660373274499,0.3854589094911153
recursive_no_target_actual,강원,2024,보건 및 사회복지업,38118.96043668708,38063.43,55.53043668707687,0.14588920832168006
recursive_no_target_actual,강원,2024,부동산업,32997.14088323424,33232.270000000004,235.12911676576186,0.7075325181390312
recursive_no_target_actual,강원,2024,사업서비스업,24206.730677946805,27170.519999999997,2963.7893220531914,10.908106734995105
recursive_no_target_actual,강원,2024,서비스업,397347.9466388887,394443.01,2904.93663888867,0.7364654881040154
recursive_no_target_actual,강원,2024,숙박 및 음식점업,21549.112960333492,21975.86,426.7470396665085,1.941890054207246
recursive_no_target_actual,강원,2024,운수 및 창고업,32519.991458580254,23894.61,8625.381458580254,36.09760300996858
recursive_no_target_actual,강원,2024,정보통신업,10128.167286372069,9554.099999999999,574.0672863720702,6.0085961667982355
recursive_no_target_actual,강원,2025,건설업,35128.40627519743,34959.83,168.57627519742528,0.4821999283103644
recursive_no_target_actual,강원,2025,"공공 행정, 국방·사회보장",125019.07390665085,126451.44,1432.3660933491483,1.132740041038005
recursive_no_target_actual,강원,2025,"광업, 제조업",62582.88898158554,56626.65,5956.238981585535,10.518437840814412
recursive_no_target_actual,강원,2025,교육 서비스업,39554.65498316251,41325.44,1770.7850168374935,4.284975590913233
recursive_no_target_actual,강원,2025,금융 및 보험업,23978.4486810368,23147.41,831.0386810368,3.5902015864271637
recursive_no_target_actual,강원,2025,기타산업 및 순생산물세,75053.26083566668,71247.34,3805.9208356666786,5.341842706923064
recursive_no_target_actual,강원,2025,도매 및 소매업,26301.531171108974,26608.11,306.5788288910262,1.1522006970469763
recursive_no_target_actual,강원,2025,문화 및 기타서비스업,26360.785297385413,25072.88,1287.9052973854123,5.136646836683349
recursive_no_target_actual,강원,2025,보건 및 사회복지업,40314.44094465441,39880.06,434.380944654411,1.089218382957325
recursive_no_target_actual,강원,2025,부동산업,33120.05518632408,33449.270000000004,329.2148136759206,0.9842212211983118
recursive_no_target_actual,강원,2025,사업서비스업,24193.45331738002,25605.28,1411.8266826199797,5.513810755515971
recursive_no_target_actual,강원,2025,서비스업,403849.49728528276,397056.19,6793.307285282761,1.7109183678216326
recursive_no_target_actual,강원,2025,숙박 및 음식점업,21419.85416033917,21689.940000000002,270.08583966083097,1.2452124794297768
recursive_no_target_actual,강원,2025,운수 및 창고업,33248.63228955057,24762.1,8486.532289550574,34.27226402264176
recursive_no_target_actual,강원,2025,정보통신업,10338.567347689932,9274.75,1063.817347689932,11.470037981508202
recursive_no_target_actual,경기도,2021,건설업,314652.7926627817,321703.91000000003,7051.117337218311,2.1918034310550687
recursive_no_target_actual,경기도,2021,"공공 행정, 국방·사회보장",239466.31521533275,246036.05,6569.734784667235,2.670232587731446
recursive_no_target_actual,경기도,2021,"광업, 제조업",2014307.417924483,2048077.23,33769.81207551691,1.6488544270138146
recursive_no_target_actual,경기도,2021,교육 서비스업,204708.83715109632,202571.1,2137.737151096313,1.0553021389015083
recursive_no_target_actual,경기도,2021,금융 및 보험업,174481.49843773543,172622.02,1859.4784377354372,1.077196546382343
recursive_no_target_actual,경기도,2021,기타산업 및 순생산물세,459863.4169609273,464763.85,4900.433039072668,1.0543920399731324
recursive_no_target_actual,경기도,2021,도매 및 소매업,409824.987527662,416927.52,7102.532472338004,1.703541294740631
recursive_no_target_actual,경기도,2021,문화 및 기타서비스업,153343.4858448514,155714.59,2371.1041551485832,1.5227244634870651
recursive_no_target_actual,경기도,2021,보건 및 사회복지업,244734.93189382847,248464.96000000002,3730.0281061715505,1.5012290289027275
recursive_no_target_actual,경기도,2021,부동산업,432373.59245852684,433766.64,1393.0475414731773,0.32115137795593895
recursive_no_target_actual,경기도,2021,사업서비스업,315041.9115002975,313329.0,1712.9115002974868,0.5466814435617152
recursive_no_target_actual,경기도,2021,서비스업,2688033.957644549,2705518.78,17484.822355450597,0.6462650521853187
recursive_no_target_actual,경기도,2021,숙박 및 음식점업,106197.0225224164,102843.45,3353.5725224164053,3.260851831027066
recursive_no_target_actual,경기도,2021,운수 및 창고업,158162.97490927868,159450.36,1287.3850907213055,0.8073892656757284
recursive_no_target_actual,경기도,2021,정보통신업,249698.4001835231,253793.1,4094.699816476903,1.6134007648265076
recursive_no_target_actual,경기도,2022,건설업,324892.9489900279,341027.97,16135.021009972086,4.731289638785959
recursive_no_target_actual,경기도,2022,"공공 행정, 국방·사회보장",253007.88533263706,252200.29,807.5953326370509,0.32021982712115477
recursive_no_target_actual,경기도,2022,"광업, 제조업",2097666.573019156,2104812.86,7146.286980843637,0.3395212523000091
recursive_no_target_actual,경기도,2022,교육 서비스업,210690.11044470436,209468.67,1221.440444704349,0.5831136678837693
recursive_no_target_actual,경기도,2022,금융 및 보험업,177343.1148070187,183202.6,5859.485192981316,3.1983635565113793
recursive_no_target_actual,경기도,2022,기타산업 및 순생산물세,459794.6364030552,456110.37,3684.266403055226,0.8077576493284346
recursive_no_target_actual,경기도,2022,도매 및 소매업,432200.59235847084,429176.89,3023.702358470822,0.7045352228706495
recursive_no_target_actual,경기도,2022,문화 및 기타서비스업,164643.92299528487,169398.86,4754.937004715117,2.80694746394109
recursive_no_target_actual,경기도,2022,보건 및 사회복지업,262781.23506118683,268780.83,5999.594938813185,2.2321513549955125
recursive_no_target_actual,경기도,2022,부동산업,425206.64397884,426869.29,1662.646021160006,0.389497689365287
recursive_no_target_actual,경기도,2022,사업서비스업,321484.3359326728,329861.86,8377.524067327206,2.5397067934217086
recursive_no_target_actual,경기도,2022,서비스업,2803958.208875012,2816434.87,12476.661124987993,0.4429948392517947
recursive_no_target_actual,경기도,2022,숙박 및 음식점업,117045.77997432045,115514.17,1531.609974320454,1.3259065743366845
recursive_no_target_actual,경기도,2022,운수 및 창고업,179850.33490468242,179881.49000000002,31.15509531760472,0.017319789444486318
recursive_no_target_actual,경기도,2022,정보통신업,259704.2530851939,252945.71,6758.543085193902,2.6719342601991163
recursive_no_target_actual,경기도,2023,건설업,339055.36232983315,321393.35,17662.012329833175,5.495450459641799
recursive_no_target_actual,경기도,2023,"공공 행정, 국방·사회보장",257514.41720127835,258742.18,1227.7627987216401,0.4745120407973838
recursive_no_target_actual,경기도,2023,"광업, 제조업",2137343.027570265,2126228.3200000003,11114.707570264582,0.5227428995144124
recursive_no_target_actual,경기도,2023,교육 서비스업,211903.5747963416,210853.29,1050.2847963415843,0.4981116473646602
recursive_no_target_actual,경기도,2023,금융 및 보험업,184309.1487582925,189524.28,5215.13124170751,2.751695583123972
recursive_no_target_actual,경기도,2023,기타산업 및 순생산물세,439944.7276049821,431151.43,8793.2976049821,2.039491694364113
recursive_no_target_actual,경기도,2023,도매 및 소매업,415114.5268729435,409637.37,5477.156872943509,1.3370745137201494
recursive_no_target_actual,경기도,2023,문화 및 기타서비스업,178118.8398287684,174002.03,4116.809828768397,2.3659550574027195
recursive_no_target_actual,경기도,2023,보건 및 사회복지업,277770.8699572711,282148.49,4377.6200427289,1.5515305585115486
recursive_no_target_actual,경기도,2023,부동산업,430465.40520610975,430654.95999999996,189.5547938902164,0.044015467484739154
recursive_no_target_actual,경기도,2023,사업서비스업,346220.95380302577,341337.5,4883.453803025768,1.4306818919766413
recursive_no_target_actual,경기도,2023,서비스업,2889940.0066418233,2891300.76,1360.7533581764437,0.047063708383504314
recursive_no_target_actual,경기도,2023,숙박 및 음식점업,113881.26260014864,111458.24,2423.02260014863,2.1739286392362103
recursive_no_target_actual,경기도,2023,운수 및 창고업,211715.33912591875,213557.27,1841.9308740812412,0.8624997285651952
