track,quarter_region,year,activity,predicted_eok,actual_eok,abs_error_eok,ape_pct
recursive_no_target_actual,대구,2025,건설업,36211.33126460625,25481.89,10729.441264606248,42.10614387161332
recursive_no_target_actual,강원,2024,운수 및 창고업,32519.991458580254,23894.61,8625.381458580254,36.09760300996858
recursive_no_target_actual,강원,2025,운수 및 창고업,33248.63228955057,24762.1,8486.532289550574,34.27226402264176
recursive_no_target_actual,울산,2025,건설업,23058.750363161827,33756.35,10697.599636838171,31.69062898340067
recursive_no_target_actual,제주,2025,정보통신업,9461.790989748837,7247.31,2214.4809897488367,30.55590266938818
recursive_no_target_actual,울산,2024,건설업,25391.835659762615,34918.65,9526.814340237386,27.282882758174747
recursive_no_target_actual,대구,2024,건설업,39875.19523005181,31555.25,8319.94523005181,26.36627892363968
recursive_no_target_actual,강원,2023,운수 및 창고업,29804.688549492406,23618.84,6185.848549492406,26.190314805860094
recursive_no_target_actual,제주,2023,정보통신업,9226.655341307933,7421.13,1805.5253413079326,24.329520454539033
recursive_no_target_actual,인천,2025,정보통신업,20610.98243814007,16664.08,3946.902438140067,23.685090554894515
recursive_no_target_actual,세종,2025,정보통신업,2395.320376917165,3109.3900000000003,714.0696230828353,22.96494241902223
recursive_no_target_actual,인천,2023,운수 및 창고업,121438.37120905885,155085.44,33647.06879094115,21.69582701699215
recursive_no_target_actual,울산,2023,건설업,26189.04272861292,33223.72,7034.677271387081,21.173659275322212
recursive_no_target_actual,인천,2022,운수 및 창고업,83888.09768648849,105023.27,21135.172313511517,20.124275613882062
recursive_no_target_actual,인천,2024,운수 및 창고업,132501.79708822185,165626.9,33125.10291177814,19.99983270337013
recursive_no_target_actual,광주,2025,정보통신업,16414.732105728872,13700.19,2714.5421057288713,19.81390116289534
recursive_no_target_actual,경남,2025,정보통신업,21370.39326592417,17843.2,3527.1932659241684,19.767716922548466
recursive_no_target_actual,전북,2025,정보통신업,11067.651716949249,9293.4,1774.2517169492494,19.09152427474605
recursive_no_target_actual,제주,2021,건설업,15199.37311574656,12793.18,2406.1931157465606,18.808405070096416
recursive_no_target_actual,세종,2025,건설업,11008.589184342194,9268.380000000001,1740.209184342193,18.775764312017774
recursive_no_target_actual,서울,2024,운수 및 창고업,190367.5826893173,160669.05000000002,29698.532689317275,18.484289718098957
