quarter_region,province_full,city,activity,year,predicted_eok,actual_eok,table_id,table_name,latest_change_date,abs_error_eok,ape_pct
경북,경상북도,예천군,정보통신업,2023,1213.2350877313515,40.45,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,2026-06-22,1172.7850877313515,2899.3450870985203
전남,전라남도,신안군,사업서비스업,2022,1446.1044229874276,196.39,215_DT_2020Y36GRDP2,전라남도 경제활동별 지역내총부가가치 및 요소소득,2025-05-20,1249.7144229874275,636.3432063686682
인천,인천광역시,중구,정보통신업,2023,3701.5999123415695,551.15,204_DT_2020Y23GRDP2,인천광역시 경제활동별 지역내총부가가치 및 요소소득,2026-06-01,3150.4499123415694,571.6138823081864
인천,인천광역시,옹진군,정보통신업,2022,224.91942088780124,41.28,204_DT_2020Y23GRDP2,인천광역시 경제활동별 지역내총부가가치 및 요소소득,2025-06-17,183.63942088780124,444.86293819719293
경북,경상북도,청도군,정보통신업,2021,60.91207650085282,11.23,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,2025-09-09,49.682076500852816,442.4049554839965
인천,인천광역시,동구,정보통신업,2022,734.4570752866717,136.71,204_DT_2020Y23GRDP2,인천광역시 경제활동별 지역내총부가가치 및 요소소득,2025-06-17,597.7470752866717,437.2372725379794
경기도,경기도,의왕시,정보통신업,2023,6479.153531723785,1232.27,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,5246.8835317237845,425.7900891625849
인천,인천광역시,강화군,금융 및 보험업,2021,5547.167384465527,1148.86,204_DT_2020Y23GRDP2,인천광역시 경제활동별 지역내총부가가치 및 요소소득,2025-03-25,4398.307384465527,382.8410236639388
인천,인천광역시,옹진군,금융 및 보험업,2021,1598.888041076163,344.76,204_DT_2020Y23GRDP2,인천광역시 경제활동별 지역내총부가가치 및 요소소득,2025-03-25,1254.128041076163,363.7684305244701
충남,충청남도,계룡시,정보통신업,2021,812.5391752140982,177.52,213_DT_2020Y34GRDP2,충청남도 경제활동별 지역내총부가가치 및 요소소득,2025-06-12,635.0191752140983,357.7169756726556
서울,서울특별시,중구,건설업,2022,5161.523766606299,1209.14,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2025-10-29,3952.383766606299,326.87561131103917
전북,전북특별자치도,진안군,운수 및 창고업,2022,320.96642052408305,78.03,214_DT_2020Y35GRDP2,전북특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-07-31,242.93642052408305,311.3372043112688
경북,경상북도,봉화군,정보통신업,2021,171.20613192709257,43.73,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,2025-09-09,127.47613192709258,291.50727630252135
서울,서울특별시,종로구,건설업,2022,3109.421022098851,858.1,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2025-10-29,2251.3210220988512,262.3611492948201
서울,서울특별시,송파구,건설업,2022,8575.282060136342,2398.45,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2025-10-29,6176.832060136342,257.53432675837905
인천,인천광역시,옹진군,"광업, 제조업",2021,154.80845531979082,49.54,204_DT_2020Y23GRDP2,인천광역시 경제활동별 지역내총부가가치 및 요소소득,2025-03-25,105.26845531979083,212.49183552642478
충남,충청남도,태안군,사업서비스업,2021,2558.2280154890736,901.84,213_DT_2020Y34GRDP2,충청남도 경제활동별 지역내총부가가치 및 요소소득,2025-06-12,1656.3880154890735,183.66761459783035
경북,경상북도,군위군,교육 서비스업,2023,292.44756024637155,104.93,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,2026-06-22,187.51756024637154,178.7072908094649
서울,서울특별시,은평구,건설업,2022,5440.85559307105,1955.57,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2025-10-29,3485.2855930710502,178.2235150401699
경기도,경기도,김포시,정보통신업,2022,3405.9533578961978,1316.1,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,2089.853357896198,158.79138043432854
서울,서울특별시,도봉구,건설업,2022,2439.697240616876,942.78,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2025-10-29,1496.9172406168761,158.77694060299075
서울,서울특별시,마포구,건설업,2022,4777.9790214789155,1909.24,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2025-10-29,2868.7390214789157,150.25554783468374
서울,서울특별시,강남구,건설업,2022,18842.208729989285,7578.41,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2025-10-29,11263.798729989285,148.63010486354372
충남,충청남도,금산군,금융 및 보험업,2021,505.431168037336,215.81,213_DT_2020Y34GRDP2,충청남도 경제활동별 지역내총부가가치 및 요소소득,2025-06-12,289.621168037336,134.20192207837266
서울,서울특별시,강동구,"광업, 제조업",2021,4415.411007297629,1887.31,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2025-10-29,2528.101007297629,133.95261018580038
충남,충청남도,청양군,금융 및 보험업,2021,301.7470830850197,133.2,213_DT_2020Y34GRDP2,충청남도 경제활동별 지역내총부가가치 및 요소소득,2025-06-12,168.54708308501972,126.53684916292774
충남,충청남도,예산군,사업서비스업,2021,1323.0920422180793,587.66,213_DT_2020Y34GRDP2,충청남도 경제활동별 지역내총부가가치 및 요소소득,2025-06-12,735.4320422180793,125.14583980840612
서울,서울특별시,성동구,건설업,2022,4619.654966253207,2081.52,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2025-10-29,2538.134966253207,121.93661200724503
서울,서울특별시,서대문구,건설업,2022,4094.9445871432386,1845.56,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2025-10-29,2249.3845871432386,121.88087015015708
서울,서울특별시,영등포구,건설업,2023,16947.741358221276,7680.03,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2026-06-19,9267.711358221277,120.67285359850517
서울,서울특별시,구로구,건설업,2023,8228.572630404133,3816.29,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2026-06-19,4412.282630404133,115.61706868199568
인천,인천광역시,옹진군,숙박 및 음식점업,2022,442.3553834533835,205.49,204_DT_2020Y23GRDP2,인천광역시 경제활동별 지역내총부가가치 및 요소소득,2025-06-17,236.86538345338352,115.26856949407929
경북,경상북도,영덕군,교육 서비스업,2021,1123.3424046843538,529.74,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,2026-06-22,593.6024046843538,112.05542429953445
경기도,경기도,양평군,문화 및 기타서비스업,2022,2964.5183065941346,1404.15,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,1560.3683065941345,111.12547139508844
전남,전라남도,보성군,사업서비스업,2022,222.97641100851962,106.16,215_DT_2020Y36GRDP2,전라남도 경제활동별 지역내총부가가치 및 요소소득,2025-12-08,116.81641100851962,110.03806613462663
충남,충청남도,계룡시,도매 및 소매업,2021,1146.9204323239271,547.17,213_DT_2020Y34GRDP2,충청남도 경제활동별 지역내총부가가치 및 요소소득,2025-06-12,599.7504323239272,109.60952397315774
전남,전라남도,강진군,도매 및 소매업,2021,1099.398095765075,524.6,215_DT_2020Y36GRDP2,전라남도 경제활동별 지역내총부가가치 및 요소소득,2025-05-20,574.7980957650749,109.56883258960634
충북,충청북도,진천군,정보통신업,2022,762.2189674099022,364.27,212_DT_2020Y33GRDP2,충청북도 경제활동별 지역내총부가가치 및 요소소득,2025-03-17,397.94896740990225,109.24560557001737
서울,서울특별시,강동구,건설업,2022,9627.136708597354,4601.69,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2025-10-29,5025.446708597355,109.20871915746943
충남,충청남도,부여군,정보통신업,2021,302.1496430868772,144.77,213_DT_2020Y34GRDP2,충청남도 경제활동별 지역내총부가가치 및 요소소득,2025-06-12,157.37964308687717,108.71012163215939
서울,서울특별시,서초구,건설업,2022,10228.337895532768,4919.22,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2025-10-29,5309.117895532768,107.92601053688932
울산,울산광역시,울주군,건설업,2021,9651.437575522647,4689.23,207_DT_GRDP_2020_02,울산광역시 경제활동별 지역내총부가가치 및 요소소득,2025-07-31,4962.207575522647,105.82137313637094
전남,전라남도,강진군,사업서비스업,2023,388.1922663699131,189.05,215_DT_2020Y36GRDP2,전라남도 경제활동별 지역내총부가가치 및 요소소득,2026-06-24,199.1422663699131,105.33841119804977
서울,서울특별시,용산구,건설업,2023,8757.595192838953,4294.56,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2026-06-19,4463.035192838953,103.9229907799391
충북,충청북도,제천시,문화 및 기타서비스업,2022,2959.295026106438,1461.73,212_DT_2020Y33GRDP2,충청북도 경제활동별 지역내총부가가치 및 요소소득,2025-03-17,1497.565026106438,102.4515489253445
서울,서울특별시,성북구,건설업,2022,3798.272555102003,1906.9,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2025-10-29,1891.372555102003,99.1857231685984
인천,인천광역시,강화군,정보통신업,2021,256.3128691870592,129.42,204_DT_2020Y23GRDP2,인천광역시 경제활동별 지역내총부가가치 및 요소소득,2025-03-25,126.89286918705923,98.04734135918656
서울,서울특별시,중랑구,건설업,2022,4436.527448653678,2246.75,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2025-10-29,2189.777448653678,97.46422381901316
충남,충청남도,부여군,금융 및 보험업,2021,701.9734996965132,361.99,213_DT_2020Y34GRDP2,충청남도 경제활동별 지역내총부가가치 및 요소소득,2025-06-12,339.98349969651315,93.92068833296862
울산,울산광역시,북구,건설업,2021,5914.036107313246,3090.74,207_DT_GRDP_2020_02,울산광역시 경제활동별 지역내총부가가치 및 요소소득,2025-07-31,2823.2961073132465,91.3469300980751
경기도,경기도,연천군,운수 및 창고업,2023,2332.3964073628777,1219.43,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,1112.9664073628776,91.26939696111114
서울,서울특별시,양천구,건설업,2023,4821.959627954331,2525.45,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2026-06-19,2296.5096279543313,90.93467017578378
전남,전라남도,신안군,사업서비스업,2021,180.37279607037058,1409.42,215_DT_2020Y36GRDP2,전라남도 경제활동별 지역내총부가가치 및 요소소득,2025-05-20,1229.0472039296294,87.20233882942128
경북,경상북도,울진군,건설업,2023,3170.715270089512,1702.93,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,2026-06-22,1467.785270089512,86.19175597878433
강원,강원특별자치도,영월군,건설업,2022,1089.5446002440303,585.29,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,504.25460024403037,86.15465841617495
경기도,경기도,광명시,문화 및 기타서비스업,2021,5255.20624495816,2828.43,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,2426.77624495816,85.79940974173518
경기도,경기도,과천시,"광업, 제조업",2023,467.83895962376954,3118.78,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,2026-05-13,2650.941040376231,84.99929589058
충남,충청남도,공주시,금융 및 보험업,2021,1504.379906690269,815.86,213_DT_2020Y34GRDP2,충청남도 경제활동별 지역내총부가가치 및 요소소득,2025-06-12,688.5199066902691,84.39191855100987
경북,경상북도,봉화군,정보통신업,2023,48.899271937538,301.91,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,2026-06-22,253.01072806246202,83.80336128729158
서울,서울특별시,동작구,건설업,2023,6814.707387380391,3717.33,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2026-06-19,3097.377387380391,83.32263714495058
서울,서울특별시,용산구,건설업,2021,6656.241335708889,3636.3,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2025-10-29,3019.941335708889,83.04984010419626
전남,전라남도,무안군,문화 및 기타서비스업,2021,1792.124325416509,981.07,215_DT_2020Y36GRDP2,전라남도 경제활동별 지역내총부가가치 및 요소소득,2025-05-20,811.054325416509,82.67038288975394
인천,인천광역시,강화군,정보통신업,2023,120.92573360532981,66.34,204_DT_2020Y23GRDP2,인천광역시 경제활동별 지역내총부가가치 및 요소소득,2026-06-01,54.58573360532981,82.28178113555894
충북,충청북도,보은군,운수 및 창고업,2023,567.8114632276406,312.32,212_DT_2020Y33GRDP2,충청북도 경제활동별 지역내총부가가치 및 요소소득,2026-02-19,255.49146322764062,81.8043875600796
서울,서울특별시,관악구,건설업,2023,6663.695853818608,3677.14,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2026-06-19,2986.5558538186083,81.21953077170325
경북,경상북도,영양군,도매 및 소매업,2023,8.037716008999555,4.44,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,2026-06-22,3.597716008999554,81.02963984233229
서울,서울특별시,광진구,건설업,2023,7111.421338767437,3935.64,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2026-06-19,3175.7813387674373,80.692881939594
서울,서울특별시,중구,건설업,2023,1202.1468542425068,5955.82,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2026-06-19,4753.673145757493,79.81559459079511
인천,인천광역시,옹진군,금융 및 보험업,2022,354.1889514493445,197.87,204_DT_2020Y23GRDP2,인천광역시 경제활동별 지역내총부가가치 및 요소소득,2025-06-17,156.31895144934447,79.00083461330392
경북,경상북도,청도군,도매 및 소매업,2021,115.94353919516642,65.17,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,2025-09-09,50.77353919516642,77.90937424453955
서울,서울특별시,강서구,건설업,2023,16474.623585648715,9269.82,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2026-06-19,7204.803585648715,77.72323071697956
인천,인천광역시,동구,건설업,2023,1298.3174095221912,730.95,204_DT_2020Y23GRDP2,인천광역시 경제활동별 지역내총부가가치 및 요소소득,2026-06-01,567.3674095221911,77.62054990384993
경북,경상북도,성주군,정보통신업,2021,65.25358911678036,36.74,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,2025-09-09,28.51358911678036,77.6091157234087
서울,서울특별시,종로구,건설업,2023,853.1371186343146,3776.25,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,2026-06-19,2923.1128813656856,77.40782208184537
