quarter_region,province_full,city,activity,year,predicted_eok,actual_eok,table_id,table_name,latest_change_date,abs_error_eok,ape_pct
강원,강원특별자치도,강릉시,건설업,2022,11447.59571675779,7141.29,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,4306.305716757791,60.30151018594386
강원,강원특별자치도,강릉시,"광업, 제조업",2021,5593.462997095485,4973.84,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,619.6229970954846,12.457638305524195
강원,강원특별자치도,강릉시,운수 및 창고업,2021,3808.223533422267,4393.45,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,585.2264665777329,13.320430790784757
강원,강원특별자치도,강릉시,운수 및 창고업,2022,4955.545123178003,4440.87,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,514.6751231780036,11.589511135836077
강원,강원특별자치도,고성군,건설업,2021,2037.306682600112,1601.0,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,436.306682600112,27.2521350780832
강원,강원특별자치도,동해시,건설업,2022,1981.1462597198079,1463.25,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,517.8962597198079,35.39355952296654
강원,강원특별자치도,동해시,운수 및 창고업,2021,4509.73197624924,5454.66,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,944.9280237507601,17.32331664578104
강원,강원특별자치도,동해시,정보통신업,2021,810.5320437534684,1067.47,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,256.9379562465316,24.069805825599932
강원,강원특별자치도,동해시,정보통신업,2022,1092.3327307329446,1295.34,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,203.00726926705534,15.672122320553317
강원,강원특별자치도,삼척시,건설업,2021,3375.5785138197452,5232.03,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,1856.4514861802545,35.48243198491321
강원,강원특별자치도,삼척시,건설업,2022,5283.8949203455295,7199.08,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,1915.1850796544704,26.603192069743226
강원,강원특별자치도,삼척시,"광업, 제조업",2022,4531.792736609215,4075.1,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,456.69273660921544,11.206908704307022
강원,강원특별자치도,삼척시,운수 및 창고업,2021,1201.2064046617786,1526.53,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,325.32359533822137,21.311313589527973
강원,강원특별자치도,삼척시,운수 및 창고업,2022,1721.8332510634962,1561.94,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,159.8932510634961,10.236836950426783
강원,강원특별자치도,속초시,건설업,2021,2557.657569389743,2878.66,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,321.00243061025685,11.151106091384772
강원,강원특별자치도,속초시,건설업,2022,2907.19605036704,2123.04,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,2025-03-19,784.1560503670398,36.935528787353974
