quarter_region,province_full,city,year,predicted_eok,actual_eok,abs_error_eok,ape_pct
인천,인천광역시,강화군,2021,19445.047848139402,15292.63,4152.417848139403,27.153065549479738
인천,인천광역시,중구,2022,132941.55876656537,164032.09,31090.531233434624,18.953932266201466
경북,경상북도,울진군,2023,12743.22781273264,10792.640000000001,1950.5878127326396,18.07331489545319
인천,인천광역시,옹진군,2021,8991.301885394287,7680.2,1311.101885394287,17.071194570379507
경북,경상북도,봉화군,2021,8593.1882647971,7380.75,1212.4382647970997,16.427033361068993
경기도,경기도,과천시,2022,44962.09426106006,53777.66,8815.565738939942,16.39261682070202
경북,경상북도,울진군,2021,14250.59641373172,12265.98,1984.616413731721,16.179843874942897
경기도,경기도,이천시,2023,248029.80506380825,215115.33,32914.47506380826,15.300850508333491
충북,충청북도,보은군,2022,10158.749526839309,11886.23,1727.480473160691,14.533459920939531
충남,충청남도,태안군,2021,16034.767571140479,14003.81,2030.9575711404796,14.502892935140363
인천,인천광역시,중구,2023,178289.25873532917,205800.87,27511.61126467082,13.36807335395172
경기도,경기도,과천시,2023,55138.99544558063,63554.19,8415.194554419373,13.240975228256977
인천,인천광역시,연수구,2022,132008.84905974244,151798.22,19789.370940257562,13.036629112157943
인천,인천광역시,동구,2022,39460.08642387171,35001.29,4458.79642387171,12.738948832662198
전남,전라남도,신안군,2022,9984.683460959512,8878.97,1105.7134609595123,12.453172619791625
경북,경상북도,울릉군,2023,3607.274071486038,4108.32,501.0459285139618,12.195883682720963
충남,충청남도,서산시,2021,118740.9190853903,135114.14,16373.220914609716,12.118066188046427
경기도,경기도,양평군,2021,20520.458870392315,23322.95,2802.491129607686,12.016023400160297
서울,서울특별시,노원구,2023,68030.45336985069,76923.85,8893.39663014932,11.561299428134863
경북,경상북도,영덕군,2021,8332.394835833897,7491.35,841.0448358338963,11.226879478784149
대구,대구광역시,북구,2021,103587.31441276324,93323.87,10263.444412763245,10.997662669543436
전남,전라남도,영암군,2023,30691.923855569592,34467.22,3775.296144430409,10.95329459245744
경북,경상북도,군위군,2022,6591.163138103136,5985.25,605.9131381031357,10.123439089480568
부산,부산광역시,영도구,2022,29535.70394875266,32856.05,3320.346051247343,10.105737151140636
