track,year,basis_source,prediction_rows
prior_year_province_anchor,2021,official_sigungu_annual_2020,11908
prior_year_province_anchor,2022,official_sigungu_annual_2021,11908
prior_year_province_anchor,2023,official_sigungu_annual_2022,11908
prior_year_province_anchor,2024,lagged_basis_2023_scaled_to_prior_year_official_sido_activity,11908
prior_year_province_anchor,2025,lagged_basis_2024_scaled_to_prior_year_official_sido_activity,11908
recursive_no_target_actual,2021,official_sigungu_annual_2020,11908
recursive_no_target_actual,2022,official_sigungu_annual_2021,11908
recursive_no_target_actual,2023,official_sigungu_annual_2022,11908
recursive_no_target_actual,2024,recursive_predicted_sigungu_2023,11908
recursive_no_target_actual,2025,recursive_predicted_sigungu_2024,11908
