activity,regions,official_sum_eok,abs_error_sum_eok,mean_wape_pct,max_ape_pct,region_years_over_10pct,combined_wape_pct
서비스업,5,8697000.97,296331.9352004522,2.8728996158463973,7.881791525791597,0,3.407288744966671
"광업, 제조업",5,5978866.0200000005,278737.3473152524,4.4766140289284895,21.26127054072196,3,4.662043711681172
운수 및 창고업,5,1049010.83,135099.88605550549,8.171405163923707,25.85202049118151,7,12.878788492155554
건설업,5,961472.68,124021.83252337034,12.797763022607814,37.21877155479623,14,12.899153049608266
기타산업 및 순생산물세,5,1997930.36,47808.81577038858,2.630039175807071,6.386834854363507,0,2.3929170269172233
도매 및 소매업,5,933925.05,36612.94049863909,4.1795381136936305,11.346614694958554,3,3.9203296344432657
사업서비스업,5,856649.78,34156.111849750625,4.111505007616405,20.439728951149604,1,3.9871733638629574
숙박 및 음식점업,5,343435.53,30658.414255703523,9.040583495133976,24.92932032115022,10,8.92697801409875
부동산업,5,1129842.72,27925.477485603085,2.484591111093796,8.761333360568644,0,2.471625208648783
보건 및 사회복지업,5,942046.54,27916.219994354615,3.46428073531375,19.280371819375866,1,2.9633589009683763
정보통신업,5,295793.42,22718.38605675356,7.224089833287418,23.7462018524683,5,7.680490680541022
문화 및 기타서비스업,5,461528.82,20465.874894503853,4.274460291099744,11.055242819410903,1,4.434365527705042
금융 및 보험업,5,630341.3999999999,17593.934320495573,3.0788986553335658,14.156017104919218,1,2.791175436120105
"공공 행정, 국방·사회보장",5,1183122.16,15133.59465016135,1.3789308236959508,6.094637109703897,0,1.27912359026065
교육 서비스업,5,834897.8200000001,11916.926545513195,1.7238003865174005,7.107119998425714,0,1.4273514985957436
