track,quarter_region,year,available_quarters,operating_label,predicted_cumulative_grdp_eok,official_cumulative_grdp_eok,cumulative_error_eok,cumulative_ape_pct,annualized_predicted_grdp_eok,official_annual_grdp_eok,annualized_error_eok,annualized_ape_pct,baseline_main_pred,selected_main_pred,adopted_main_rows,routed_annualized_predicted_grdp_eok,routed_annualized_error_eok,routed_annualized_ape_pct
prior_year_province_anchor,대구,2021,1,1분기+1개월,155631.8344272185,157693.94,-2062.1055727814964,1.307663168782197,642693.9661578045,656470.1599999999,-13776.19384219544,2.0985255205195377,587175.363738628,589384.4416344445,1.0,644903.044053621,-11567.115946378908,1.7620170193842335
prior_year_province_anchor,대구,2021,2,1~2분기+1개월,318901.7520520021,321877.08999999997,-2975.337947997846,0.9243708360846208,654264.098193876,656470.1599999999,-2206.0618061239365,0.3360490606494493,598301.5211389491,598301.5211389491,0.0,654264.098193876,-2206.0618061239365,0.3360490606494493
prior_year_province_anchor,대구,2021,3,1~3분기+1개월,481478.97778517014,485077.4199999999,-3598.442214829789,0.7418284311872916,654079.4270062731,656470.1599999999,-2390.7329937268514,0.3641799946743735,598449.4759071779,606856.9214719369,1.0,662486.872571032,6016.7125710321125,0.916524914252327
prior_year_province_anchor,대구,2021,4,공표 후 정밀화,652911.3416026178,656470.1599999999,-3558.818397382158,0.5421142672169834,652911.3416026178,656470.1599999999,-3558.818397382158,0.5421142672169834,597148.6843337922,604563.6462103815,1.0,660326.3034792071,3856.1434792071814,0.5874057518786813
prior_year_province_anchor,대구,2022,1,1분기+1개월,161461.28782784275,161138.9,322.38782784275827,0.2000682813664225,681336.3801153571,670700.52,10635.860115357093,1.5857837884719537,623192.8780103477,621205.3314695833,1.0,679348.8335745927,8648.3135745927,1.289444888844383
prior_year_province_anchor,대구,2022,2,1~2분기+1개월,330463.0187412513,326687.13,3775.888741251314,1.15581190518626,678453.9997245485,670700.52,7753.479724548524,1.156027093068084,620822.5978395761,621740.8853326915,1.0,679372.287217664,8671.767217663932,1.2929417764077373
prior_year_province_anchor,대구,2022,3,1~3분기+1개월,499366.3860753036,494994.52,4371.86607530358,0.8832150455531467,678696.8092486206,670700.52,7996.289248620626,1.1922294690662572,620771.505783804,620771.505783804,0.0,678696.8092486206,7996.289248620626,1.1922294690662572
prior_year_province_anchor,대구,2022,4,공표 후 정밀화,674970.6328266184,670700.52,4270.112826618366,0.6366646065248862,674970.6328266184,670700.52,4270.112826618366,0.6366646065248862,617357.3660848152,622151.0262433694,1.0,679764.2929851726,9063.772985172574,1.3513889903011518
prior_year_province_anchor,대구,2023,1,1분기+1개월,163174.9177403928,164888.74,-1713.822259607201,1.039381015105823,686053.3282686594,671610.1,14443.22826865944,2.1505376808150207,467162.7384612387,467162.7384612387,0.0,686053.3282686594,14443.22826865944,2.1505376808150207
prior_year_province_anchor,대구,2023,2,1~2분기+1개월,333220.12703880115,333324.37,-104.2429611988482,0.0312737293102356,682448.9382608281,671610.1,10838.838260828168,1.6138587345288835,461022.0284423635,458207.62648586,1.0,679634.5363043246,8024.436304324656,1.1948057815575817
