track,activity_group,monthly_indicator_coverage,monthly_indicator_source,rows,estimated_sum_eok,city_count,year_min,year_max
prior_year_province_anchor,건설업,fallback_equal_split,equal_split_no_monthly_indicator,13740,5296779.4838169385,207,2021,2025
prior_year_province_anchor,"공공 행정, 국방·사회보장",fallback_equal_split,equal_split_no_monthly_indicator,13740,7045428.518326691,207,2021,2025
prior_year_province_anchor,"광업, 제조업",fallback_equal_split,equal_split_no_monthly_indicator,2214,4992505.815374181,207,2021,2025
prior_year_province_anchor,"광업, 제조업",monthly_indicator,시도별 제조업 생산지수,11526,24742640.38826472,204,2021,2025
prior_year_province_anchor,교육 서비스업,fallback_equal_split,equal_split_no_monthly_indicator,13740,4982533.810291282,207,2021,2025
prior_year_province_anchor,금융 및 보험업,fallback_equal_split,equal_split_no_monthly_indicator,13740,6168239.8019948425,207,2021,2025
prior_year_province_anchor,도매 및 소매업,fallback_equal_split,equal_split_no_monthly_indicator,13740,8941569.646197792,207,2021,2025
prior_year_province_anchor,문화 및 기타서비스업,fallback_equal_split,equal_split_no_monthly_indicator,13740,3243655.626140161,207,2021,2025
prior_year_province_anchor,보건 및 사회복지업,fallback_equal_split,equal_split_no_monthly_indicator,13740,6193572.075961586,207,2021,2025
prior_year_province_anchor,부동산업,fallback_equal_split,equal_split_no_monthly_indicator,13740,8164610.8852878455,207,2021,2025
prior_year_province_anchor,사업서비스업,fallback_equal_split,equal_split_no_monthly_indicator,13740,8426053.974325743,207,2021,2025
prior_year_province_anchor,숙박 및 음식점업,fallback_equal_split,equal_split_no_monthly_indicator,13740,2427475.297522473,207,2021,2025
prior_year_province_anchor,운수 및 창고업,fallback_equal_split,equal_split_no_monthly_indicator,13740,4550687.522041171,207,2021,2025
prior_year_province_anchor,정보통신업,fallback_equal_split,equal_split_no_monthly_indicator,13740,5246004.0748160295,207,2021,2025
recursive_no_target_actual,건설업,fallback_equal_split,equal_split_no_monthly_indicator,13740,5296537.75124417,207,2021,2025
recursive_no_target_actual,"공공 행정, 국방·사회보장",fallback_equal_split,equal_split_no_monthly_indicator,13740,7045494.924206442,207,2021,2025
recursive_no_target_actual,"광업, 제조업",fallback_equal_split,equal_split_no_monthly_indicator,2214,5002930.923671792,207,2021,2025
recursive_no_target_actual,"광업, 제조업",monthly_indicator,시도별 제조업 생산지수,11526,24761626.090985138,204,2021,2025
recursive_no_target_actual,교육 서비스업,fallback_equal_split,equal_split_no_monthly_indicator,13740,4982491.794438188,207,2021,2025
recursive_no_target_actual,금융 및 보험업,fallback_equal_split,equal_split_no_monthly_indicator,13740,6168178.20594096,207,2021,2025
recursive_no_target_actual,도매 및 소매업,fallback_equal_split,equal_split_no_monthly_indicator,13740,8941569.598291477,207,2021,2025
recursive_no_target_actual,문화 및 기타서비스업,fallback_equal_split,equal_split_no_monthly_indicator,13740,3243961.297315281,207,2021,2025
recursive_no_target_actual,보건 및 사회복지업,fallback_equal_split,equal_split_no_monthly_indicator,13740,6193478.823789322,207,2021,2025
recursive_no_target_actual,부동산업,fallback_equal_split,equal_split_no_monthly_indicator,13740,8164622.353364502,207,2021,2025
recursive_no_target_actual,사업서비스업,fallback_equal_split,equal_split_no_monthly_indicator,13740,8425991.379876731,207,2021,2025
recursive_no_target_actual,숙박 및 음식점업,fallback_equal_split,equal_split_no_monthly_indicator,13740,2427508.458240806,207,2021,2025
recursive_no_target_actual,운수 및 창고업,fallback_equal_split,equal_split_no_monthly_indicator,13740,4572195.0738406135,207,2021,2025
recursive_no_target_actual,정보통신업,fallback_equal_split,equal_split_no_monthly_indicator,13740,5248766.60787224,207,2021,2025
