quarter_region,province_full,table_id,table_name,aggregate_name_removed,sigungu_count_2023,year_min,year_max,latest_change_date_max
서울,서울특별시,201_DT_201012_D040031,서울특별시 경제활동별 지역내총부가가치 및 요소소득,서울시,25,2019,2023,2026-06-19
부산,부산광역시,202_DT_F10108,부산광역시 경제활동별 지역내총부가가치 및 요소소득,부산광역시,0,2019,2022,2025-03-31
대구,대구광역시,203_DT_2020Y22GRDP2,대구광역시 경제활동별 지역내총부가가치 및 요소소득,대구광역시,0,2020,2022,2025-09-05
인천,인천광역시,204_DT_2020Y23GRDP2,인천광역시 경제활동별 지역내총부가가치 및 요소소득,인천광역시,10,2019,2023,2026-06-15
광주,광주광역시,205_DT_2020Y24GRDP2,광주광역시 경제활동별 지역내총부가가치 및 요소소득,광주광역시,5,2019,2023,2026-06-25
대전,대전광역시,206_DT_2020Y25GRDP2,대전광역시 경제활동별 지역내총부가가치 및 요소소득,대전광역시,5,2020,2023,2026-06-22
울산,울산광역시,207_DT_GRDP_2020_02,울산광역시 경제활동별 지역내총부가가치 및 요소소득,울산광역시,0,2020,2022,2025-07-31
경기도,경기도,210_DT_GRDP008_2020,경기도 경제활동별 지역내총부가가치 및 요소소득,경기도,31,2019,2023,2026-05-13
강원,강원특별자치도,211_DT_2020Y32GRDP2,강원특별자치도 경제활동별 지역내총부가가치 및 요소소득,강원특별자치도,0,2019,2022,2025-03-19
충북,충청북도,212_DT_2020Y33GRDP2,충청북도 경제활동별 지역내총부가가치 및 요소소득,충청북도,11,2019,2023,2026-04-05
충남,충청남도,213_DT_2020Y34GRDP2,충청남도 경제활동별 지역내총부가가치 및 요소소득,충청남도,0,2020,2022,2025-06-12
전북,전북특별자치도,214_DT_2020Y35GRDP2,전북특별자치도 경제활동별 지역내총부가가치 및 요소소득,전북특별자치도,14,2019,2023,2026-06-24
전남,전라남도,215_DT_2020Y36GRDP2,전라남도 경제활동별 지역내총부가가치 및 요소소득,전라남도,22,2019,2023,2026-06-24
경북,경상북도,216_DT_GRDP202037_02,경상북도 경제활동별 지역내총부가가치 및 요소소득,경상북도,23,2020,2023,2026-06-22
경남,경상남도,217_DT_2020Y38GRDP2,경상남도 경제활동별 지역내총부가가치 및 요소소득,경상남도,0,2020,2022,2025-11-07
제주,제주특별자치도,218_DT_2020GRDP39_02,제주특별자치도 경제활동별 지역내총부가가치 및 요소소득,제주특별자치도,2,2020,2023,2026-02-27
세종,세종특별자치시,pseudo_sejong_one_tier_from_quarterly_grdp,세종 단층 시군구 annual GVA benchmark from official quarterly GRDP/GVA,해당 없음: 단층 지자체,1,2020,2023,quarterly_grdp_xlsx_derived
