policy,count,wmape,mape,macro_region_wmape,median_ape,p90_ape,rmse,mae,material_degradation_count,region_improvement_rate,origin,latest_eligible_month,feature_coverage
M0_baseline,1101,5.425156,81.057455,5.289317,5.982753,30.252651,433715.329913,163859.822099,53,0.523161,O0,202209,0.949213
M0_baseline,1101,5.425156,81.057455,5.289317,5.982753,30.252651,433715.329913,163859.822099,53,0.523161,O1,202212,1.0
M0_baseline,1101,5.425156,81.057455,5.289317,5.982753,30.252651,433715.329913,163859.822099,53,0.523161,O2,202303,1.0
M0_baseline,1101,5.425156,81.057455,5.289317,5.982753,30.252651,433715.329913,163859.822099,53,0.523161,O3,202307,1.0
M1_global,1101,5.470158,83.803505,5.343632,5.897335,30.216904,436148.826801,165219.067384,0,0.0,O0,202209,0.949213
M1_global,1101,5.470158,83.803505,5.343632,5.897335,30.216904,436148.826801,165219.067384,0,0.0,O1,202212,1.0
M1_global,1101,5.470158,83.803505,5.343632,5.897335,30.216904,436148.826801,165219.067384,0,0.0,O2,202303,1.0
M1_global,1101,5.470158,83.803505,5.343632,5.897335,30.216904,436148.826801,165219.067384,0,0.0,O3,202307,1.0
M2B_baseline_electricity,1101,6.439409,78.583124,5.967397,8.300191,30.762244,548450.838615,194494.026741,546,0.388738,O0,202209,0.949213
M2B_baseline_electricity,1101,6.170754,77.75241,5.727844,7.567843,31.11789,515783.171734,186379.66278,529,0.405086,O1,202212,1.0
M2B_baseline_electricity,1101,6.001147,79.003149,5.626562,7.951225,30.429758,507534.831302,181256.893949,524,0.407811,O2,202303,1.0
M2B_baseline_electricity,1101,5.940696,78.438227,5.616732,7.218508,31.801016,496555.058736,179431.059344,480,0.419619,O3,202307,1.0
M3_global_electricity,1101,5.997675,77.921807,5.736165,7.553178,30.224667,487260.934507,181152.02379,478,0.430518,O0,202209,0.949213
M3_global_electricity,1101,6.205429,77.513546,5.762452,7.910766,30.066695,518592.017589,187426.979498,547,0.408719,O1,202212,1.0
M3_global_electricity,1101,5.641972,78.478788,5.476319,7.361249,30.090882,456766.33592,170408.465074,478,0.443233,O2,202303,1.0
M3_global_electricity,1101,5.910252,78.277735,5.620437,7.48109,30.648169,474943.53319,178511.514198,484,0.428701,O3,202307,1.0
M4_global_electricity_alpha_0.25,1101,5.400309,81.953223,5.239812,6.251729,30.24627,436766.559716,163109.357863,140,0.51317,O0,202209,0.949213
M4_global_electricity_alpha_0.25,1101,5.322194,81.812906,5.198237,6.267037,30.798352,430461.431631,160750.008639,106,0.502271,O1,202212,1.0
M4_global_electricity_alpha_0.25,1101,5.361405,82.112459,5.205589,6.181941,29.798795,432070.569355,161934.320136,134,0.525886,O2,202303,1.0
M4_global_electricity_alpha_0.25,1101,5.370464,82.051547,5.217774,6.260073,30.367568,433018.511597,162207.924686,120,0.517711,O3,202307,1.0
M4_global_electricity_alpha_0.5,1101,5.466654,80.402239,5.283672,6.467664,30.259768,446029.631247,165113.222313,316,0.485014,O0,202209,0.949213
M4_global_electricity_alpha_0.5,1101,5.477868,80.154138,5.252387,6.701774,31.242368,442925.69877,165451.920602,341,0.475023,O1,202212,1.0
M4_global_electricity_alpha_0.5,1101,5.3511,80.707342,5.193547,6.21306,30.229996,434342.004408,161623.049293,286,0.496821,O2,202303,1.0
M4_global_electricity_alpha_0.5,1101,5.407438,80.587138,5.234671,6.531492,31.100871,438846.273957,163324.690009,315,0.491371,O3,202307,1.0
M4_global_electricity_alpha_0.75,1101,5.671311,79.058068,5.459205,6.900182,30.412033,463205.114359,171294.611995,429,0.451408,O0,202209,0.949213
M4_global_electricity_alpha_0.75,1101,5.781827,78.739694,5.443359,7.003351,30.26725,473022.584064,174632.618619,479,0.436876,O1,202212,1.0
M4_global_electricity_alpha_0.75,1101,5.444734,79.496043,5.282366,6.852443,30.185534,442728.717324,164451.16903,398,0.464124,O2,202303,1.0
M4_global_electricity_alpha_0.75,1101,5.605013,79.338657,5.381904,6.860636,30.875105,453124.142577,169292.17991,427,0.452316,O3,202307,1.0
