policy,count,wmape,mape,macro_region_wmape,median_ape,p90_ape,rmse,mae,material_degradation_count,region_improvement_rate,target_year,improvement_vs_global_pct
M0_baseline,2684,5.823494,121.225878,5.656291,6.241299,21.490544,466998.717228,168453.988096,152,0.563338,2022,0.440229
M0_baseline,1720,4.866693,18.376032,4.611825,5.57586,39.340104,375936.288699,156690.78632,60,0.460465,2023,1.457764
M1_global,2684,5.849244,125.356338,5.687651,6.175156,21.714049,468025.341043,169198.846956,0,0.0,2022,1e-06
M1_global,1720,4.938687,18.961757,4.719245,5.564079,40.607688,381117.038746,159008.760192,0,0.0,2023,8e-06
M2B_baseline_electricity,2684,5.921174,116.652802,5.516918,7.48655,22.272828,517972.75419,171279.543569,1274,0.421759,2022,-1.22973
M2B_baseline_electricity,1720,6.44199,18.821081,6.190951,8.037297,40.402028,516615.314381,207409.926627,805,0.379651,2023,-30.439315
M3_global_electricity,2684,5.812888,116.074188,5.503582,8.103947,23.486977,483051.800798,168147.185664,1338,0.427347,2022,0.621552
M3_global_electricity,1720,6.115403,18.709382,5.986282,6.993564,42.020386,487806.610271,196894.961322,649,0.428488,2023,-23.826485
M4_global_electricity_alpha_0.25,2684,5.681298,122.557191,5.477127,6.466735,21.508332,464403.880435,164340.742168,464,0.519747,2022,2.871244
M4_global_electricity_alpha_0.25,1720,4.918177,18.667197,4.723078,5.81937,40.946461,379079.877737,158348.384935,36,0.506977,2023,0.4153
M4_global_electricity_alpha_0.5,2684,5.625796,120.135462,5.378131,6.713138,21.40019,465839.818675,162735.236221,981,0.491803,2022,3.820119
M4_global_electricity_alpha_0.5,1720,5.145326,18.554776,4.996591,6.223895,41.812058,397909.787694,165661.807734,277,0.479651,2023,-4.18408
M4_global_electricity_alpha_0.75,2684,5.676082,117.983689,5.388001,7.254596,22.103172,472159.70032,164189.866699,1232,0.4538,2022,2.960418
M4_global_electricity_alpha_0.75,1720,5.555116,18.572162,5.432562,6.445042,41.814052,435413.587559,178855.642946,501,0.447093,2023,-12.481629
